w1,l1_leg,l1_top,l2,h1,l1_center,Tx_turns,Tx_width,Tx_height,Tx_space_x,Tx_space_y,Tx_preg,Rx_width,Rx_height,Rx_space_x,Rx_space_y,Rx_preg,g2,Tx_layer_space_x,Tx_layer_space_y,magnetizing_current,total_loss,coreloss,copperloss_Tx,copperloss_Rx1,copperloss_Rx2,magnetizing_copperloss_Tx,B_center,A,Lmt,hh,h1,coil_height,Tx1,Rx1,Txp1,Rxp1,B_left,B_top_left
59,41.0,2.3000000000000003,1.0,15.4,3.0,5.0,14.0,1.3,0.17500000000000004,0.47000000000000003,2.9000000000000004,0.26,13.700000000000001,0.17500000000000004,0.5,1.6,0.28,1.01,0.2,0.2,4.56287558393219,9.551865689667043,2.038254037014244,1.9652003354497514,1.1532792453447083,2.08817849204233,2.306953579816008,0.11613547275505669,2230.0800000000004,68.70733097600561,0.0003099999999999995,0.003,0.0026900000000000006,0.00017500000000000005,0.00017500000000000005,0.00026000000000000003,0.00028000000000000003,0.10883899161271865,0.2972396087699524
55,41.0,2.0,1.0,15.4,3.0,5.0,14.0,1.3,0.17500000000000004,0.47000000000000003,2.9000000000000004,0.26,13.700000000000001,0.17500000000000004,1.0,1.6,0.28,1.01,0.2,0.2,4.591849937173144,9.552982638440438,2.0274564529319274,1.9722881506185375,1.1669682551210283,1.9995299427751538,2.3867398369937916,0.11435534081527553,2216.86,68.27379100732634,0.0003099999999999995,0.003,0.0026900000000000006,0.00017500000000000005,0.00017500000000000005,0.00026000000000000003,0.00028000000000000003,0.11682801315753952,0.29747027163905265
76,41.0,2.0,1.0,15.4,3.0,5.0,14.0,1.3,0.17500000000000004,0.47000000000000003,2.9000000000000004,0.3,13.700000000000001,0.17500000000000004,0.7000000000000001,1.6,0.28,1.01,0.2,0.2,4.612314229066169,9.590225690911826,2.030694289225199,1.970718095607617,1.168313967371083,2.082013352307605,2.338485986400322,0.11433091751518658,2204.92,67.97086828384568,0.0002299999999999993,0.003,0.0027700000000000008,0.00017500000000000005,0.00017500000000000005,0.0003,0.00028000000000000003,0.11651229172586725,0.29484832473703326
88,41.0,2.1,1.0,15.4,3.0,5.0,14.0,1.3,0.17500000000000004,0.47000000000000003,2.9000000000000004,0.26,13.700000000000001,0.17500000000000004,0.4,1.6,0.3,1.01,0.2,0.2,4.60899431114597,9.617730683502998,2.0388936202200356,1.954106685317792,1.154177209019542,2.1459471117656617,2.3246060571799663,0.11635693271875817,2204.0000000000005,68.01982857505742,0.00022999999999999974,0.003,0.0027700000000000003,0.00017500000000000005,0.00017500000000000005,0.00026000000000000003,0.0003,0.11235674418539797,0.29808191760228886
67,41.0,2.0,1.0,15.4,3.0,5.0,14.0,1.4000000000000001,0.17500000000000004,0.46,2.9000000000000004,0.26,13.700000000000001,0.17500000000000004,0.4,1.6,0.28,1.01,0.2,0.2,4.63360702418325,9.622183499986704,2.043840486444761,1.9533860992007634,1.1288731082064678,2.1154192941146426,2.380664512020069,0.11450515221089592,2192.9799999999996,67.65852203507134,0.0003099999999999995,0.003,0.0026900000000000006,0.00017500000000000005,0.00017500000000000005,0.00026000000000000003,0.00028000000000000003,0.11570838836044885,0.2979719237251691
3,41.0,2.0,1.0,15.4,3.0,5.0,14.0,1.4000000000000001,0.17500000000000004,0.46,2.9000000000000004,0.26,13.600000000000001,0.17500000000000004,0.4,1.6,0.28,1.01,0.2,0.2,4.663372594695833,9.681380986731583,2.0563415305173423,1.9582234783106987,1.1318331592926874,2.127049279901653,2.407933538709201,0.11455184993096103,2188.9999999999995,67.22666837819162,0.0003099999999999995,0.003,0.0026900000000000006,0.00017500000000000005,0.00017500000000000005,0.00026000000000000003,0.00028000000000000003,0.1158264203722979,0.29789053603393273
4,42.0,2.4000000000000004,1.0,12.8,3.0,5.0,14.0,1.0,0.17500000000000004,0.47000000000000003,2.9000000000000004,0.26,11.100000000000001,0.17500000000000004,1.0,1.6,0.3,1.01,0.2,0.2,4.483356487346449,10.076130226381359,1.5802801715602852,2.2802025327565163,1.2859628758418817,2.1426060096001955,2.787078636622481,0.11361561093564092,1915.1400000000003,69.92595922995984,0.00022999999999999974,0.003,0.0027700000000000003,0.00017500000000000005,0.00017500000000000005,0.00026000000000000003,0.0003,0.10362757366265554,0.2861966709888878
46,41.0,2.4000000000000004,1.0,12.8,3.0,5.0,14.0,1.0,0.17500000000000004,0.47000000000000003,2.9000000000000004,0.26,11.100000000000001,0.17500000000000004,1.0,1.6,0.3,1.01,0.2,0.2,4.558493453146857,10.087620194958692,1.6003358535681222,2.2424568449293814,1.2858462339239658,2.1218582336398453,2.8371230288973766,0.11561349423307302,1879.7400000000005,68.77338010239848,0.00022999999999999974,0.003,0.0027700000000000003,0.00017500000000000005,0.00017500000000000005,0.00026000000000000003,0.0003,0.10570835120622758,0.29594372526423823
45,42.0,2.4000000000000004,1.0,12.8,3.0,5.0,14.0,1.0,0.17500000000000004,0.47000000000000003,2.9000000000000004,0.26,11.100000000000001,0.17500000000000004,0.9,1.6,0.28,1.01,0.2,0.2,4.480989410552706,10.103364372292654,1.5821074449228816,2.279401266828878,1.2862380463527268,2.176593383063512,2.779024231124656,0.11363284176239959,1911.6000000000004,69.96289752644046,0.0003099999999999995,0.003,0.0026900000000000006,0.00017500000000000005,0.00017500000000000005,0.00026000000000000003,0.00028000000000000003,0.10368310128375038,0.2851916003020302
89,41.0,2.4000000000000004,1.0,12.8,3.0,5.0,14.0,1.0,0.17500000000000004,0.47000000000000003,2.9000000000000004,0.26,11.100000000000001,0.17500000000000004,0.9,1.6,0.28,1.01,0.2,0.2,4.556086706304882,10.114192440773792,1.6021863172574478,2.241668842882094,1.2861213794757573,2.1555164927410537,2.828699408417439,0.11563102805675878,1876.2000000000003,68.80970955046284,0.0003099999999999995,0.003,0.0026900000000000006,0.00017500000000000005,0.00017500000000000005,0.00026000000000000003,0.00028000000000000003,0.1057649937875877,0.29490442469447703
